price_billion,area_m2,bedrooms_num,district,direction,balcony_direction,furniture_std,legal_std
6.4,75.0,2.0,Hoài Đức,Không rõ,Không rõ,Cơ bản,HĐMB
19.2,118.2,3.0,Tây Hồ,Đông - Nam,Tây - Bắc,Cơ bản,HĐMB
7.55,75.0,2.0,Hoàng Mai,Đông - Nam,Tây - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
9.2,99.1,3.0,Tây Hồ,Không rõ,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
9.3,97.5,3.0,Bắc Từ Liêm,Đông - Nam,Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
4.45,41.9,1.0,Nam Từ Liêm,Tây,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
3.65,42.8,1.0,Nam Từ Liêm,Nam,Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
4.35,68.0,2.0,Hà Đông,Đông - Bắc,Tây - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
14.9,180.0,4.0,Hà Đông,Đông - Nam,Tây - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
13.9,89.7,2.0,Khác,Không rõ,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng
19.8,154.0,4.0,Cầu Giấy,Bắc,Nam,Đầy đủ,Sổ đỏ/Sổ hồng
2.9,25.0,1.0,Nam Từ Liêm,Tây - Nam,Đông - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
5.8,98.6,3.0,Khác,Đông - Nam,Đông - Nam,Cơ bản,Sổ đỏ/Sổ hồng
8.29,103.6,2.0,Hoàng Mai,Không rõ,Không rõ,Không rõ,Sổ đỏ/Sổ hồng
11.2,83.0,2.0,Nam Từ Liêm,Nam,Bắc,Đầy đủ,HĐMB
3.5,55.0,2.0,Gia Lâm,Đông - Bắc,Tây - Nam,Không rõ,Sổ đỏ/Sổ hồng
3.3,42.0,1.0,Nam Từ Liêm,Không rõ,Không rõ,Không rõ,Sổ đỏ/Sổ hồng
4.0,54.0,2.0,Hoài Đức,Đông - Nam,Đông - Nam,Đầy đủ,Sổ đỏ/Sổ hồng
4.25,55.0,2.0,Nam Từ Liêm,Đông - Nam,Tây - Bắc,Đầy đủ,Sổ đỏ/Sổ hồng
