price_billion,area_m2,bedrooms_num,district,direction,furniture_std,legal_std,floors_num,frontage_m,road_width_m
15.5,47.7,3.0,Đống Đa,Không rõ,Không rõ,Không rõ,3.0,4.5,3.3
11.6,72.0,2.0,Khác,Không rõ,Không rõ,Không rõ,2.0,6.0,6.0
15.8,46.0,4.0,Cầu Giấy,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,6.0,4.8,6.0
8.0,40.0,6.0,Nam Từ Liêm,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,3.0
19.5,61.3,4.0,Hai Bà Trưng,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,3.0,5.45,3.0
8.7,31.0,3.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,3.3
49.0,99.0,3.0,Hoàng Mai,Nam,Đầy đủ,Sổ đỏ/Sổ hồng,9.0,6.0,8.0
8.95,45.0,4.0,Hoàng Mai,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.25,4.0
16.3,47.0,5.0,Thanh Xuân,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,4.0,4.2,4.0
33.0,81.0,9.0,Ba Đình,Không rõ,Không nội thất,Sổ đỏ/Sổ hồng,6.0,4.0,7.0
27.0,90.0,6.0,Long Biên,Tây - Nam,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,5.3,6.0
17.5,54.0,4.0,Thanh Xuân,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,4.0,4.0,4.0
14.68,40.0,4.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,7.0,5.5,3.3
6.69,38.0,4.0,Long Biên,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.0,4.0
9.5,65.0,6.0,Long Biên,Không rõ,Cơ bản,Sổ đỏ/Sổ hồng,5.0,5.0,5.0
9.5,65.0,6.0,Long Biên,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,5.0,5.0
12.95,40.0,3.0,Ba Đình,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,6.0,4.1,4.0
23.5,60.0,6.0,Cầu Giấy,Đông - Bắc,Cơ bản,Sổ đỏ/Sổ hồng,4.0,5.0,6.0
17.9,60.0,5.0,Cầu Giấy,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,6.0,4.8,6.0
3.8,160.0,4.0,Khác,Không rõ,Đầy đủ,Không rõ,4.0,5.0,4.0
9.6,52.0,4.0,Tây Hồ,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,5.0,6.0,5.0
9.5,44.0,4.0,Long Biên,Không rõ,Không rõ,Không rõ,4.0,5.0,5.0
5.8,20.0,4.0,Hai Bà Trưng,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,3.0,2.0
18.2,42.0,4.0,Đống Đa,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,7.0,6.1,4.0
